         0   0.050000   0.000000
         1   0.150000   0.000000
         2   0.250000   0.000000
         3   0.350000   0.000000
         4   0.450000   0.000000
         5   0.550000   0.000000
         6   0.650000   0.000000
         7   0.750000   0.000000
         8   0.850000   0.000000
         9   0.950000   0.000000
        10   1.050000   0.000000
        11   1.150000   0.000000
        12   1.250000   0.000000
        13   1.350000   0.000000
        14   1.450000   0.000000
        15   1.550000   0.000000
        16   1.650000   0.000000
        17   1.750000   0.000000
        18   1.850000   0.000000
        19   1.950000   0.000000
        20   2.050000   0.000000
        21   2.150000   0.000000
        22   2.250000   0.000000
        23   2.350000   0.000000
        24   2.450000   0.000000
        25   2.550000   0.000000
        26   2.650000   0.000000
        27   2.750000   0.000000
        28   2.850000  26.365173
        29   2.950000   0.000000
        30   3.050000   0.000000
        31   3.150000   0.000000
        32   3.250000   0.000000
        33   3.350000   0.000000
        34   3.450000   0.000000
        35   3.550000   0.000000
        36   3.650000   0.000000
        37   3.750000   0.000000
        38   3.850000   0.000000
        39   3.950000   0.000000
        40   4.050000   0.000000
        41   4.150000   0.000000
        42   4.250000   0.000000
        43   4.350000   0.000000
        44   4.450000   0.000000
        45   4.550000   0.000000
        46   4.650000   0.000000
        47   4.750000   0.000000
        48   4.850000  12.139611
        49   4.950000   0.000000
        50   5.050000   0.000000
        51   5.150000   0.000000
        52   5.250000   0.000000
        53   5.350000   0.000000
        54   5.450000   0.000000
        55   5.550000   0.000000
        56   5.650000   0.000000
        57   5.750000   0.000000
        58   5.850000   0.000000
        59   5.950000   0.000000
        60   6.050000   0.000000
        61   6.150000   0.000000
        62   6.250000   0.000000
        63   6.350000  21.245574
        64   6.450000   0.000000
        65   6.550000   0.000000
        66   6.650000   0.000000
        67   6.750000   0.000000
        68   6.850000   0.000000
        69   6.950000   0.000000
        70   7.050000   0.000000
        71   7.150000   0.000000
        72   7.250000   0.000000
        73   7.350000   0.000000
        74   7.450000   0.000000
        75   7.550000   0.000000
        76   7.650000   0.000000
        77   7.750000   0.000000
        78   7.850000   0.000000
        79   7.950000   0.000000
        80   8.050000   0.000000
        81   8.150000   0.000000
        82   8.250000   0.000000
        83   8.350000   0.000000
        84   8.450000  14.997416
        85   8.550000   0.000000
        86   8.650000   0.000000
        87   8.750000   0.000000
        88   8.850000   0.000000
        89   8.950000   0.000000
        90   9.050000   0.000000
        91   9.150000   0.000000
        92   9.250000   0.000000
        93   9.350000   9.799356
        94   9.450000   0.000000
        95   9.550000   0.000000
        96   9.650000   0.000000
        97   9.750000   0.000000
        98   9.850000   0.000000
        99   9.950000   0.000000
       100  10.050000   0.000000
       101  10.150000   8.315518
       102  10.250000   0.000000
       103  10.350000   0.000000
       104  10.450000   0.000000
       105  10.550000   0.000000
       106  10.650000   0.000000
       107  10.750000   0.000000
       108  10.850000   0.000000
       109  10.950000   0.000000
       110  11.050000   0.000000
       111  11.150000   0.000000
       112  11.250000   0.000000
       113  11.350000   0.000000
       114  11.450000   0.000000
       115  11.550000   0.000000
       116  11.650000  12.624099
       117  11.750000   0.000000
       118  11.850000   0.000000
       119  11.950000   0.000000
       120  12.050000   0.000000
       121  12.150000   0.000000
       122  12.250000   5.708872
       123  12.350000   0.000000
       124  12.450000   0.000000
       125  12.550000   0.000000
